ID,Category,Prompt,Good Response,Bad Response,Good Score,Bad Score,Annotation
CO-015,Coding,Write a function in Python to check whether a string is a palindrome.,"def is_palindrome(s):
    """"""Return True if s is a palindrome (ignoring case and spaces).""""""
    cleaned = s.lower().replace("" "", """")
    return cleaned == cleaned[::-1]

# Tests:
print(is_palindrome(""racecar""))    # True
print(is_palindrome(""A man a plan a canal Panama""))  # True
print(is_palindrome(""hello""))      # False","def is_palindrome(s):
    return s == s[::-1]",9,5,"Good response: handles case insensitivity and spaces, includes docstring and multiple tests including a phrase palindrome. Bad response: works for simple cases ('racecar') but fails for 'A man a plan a canal Panama' (returns False due to spaces and case). Technically correct for simple inputs but incomplete."
RE-001,Reasoning,"If all roses are flowers and some flowers fade quickly, can we conclude that some roses fade quickly?","No, we cannot logically conclude that some roses fade quickly. This is a syllogistic fallacy.

The logic: 'All roses are flowers' and 'some flowers fade quickly' — but the flowers that fade quickly might be a subset of flowers that does not include any roses. Without knowing that any rose is in the 'fades quickly' group, we cannot make that inference. The two sets (roses and fast-fading flowers) may be entirely disjoint within the set of all flowers.","Yes, since all roses are flowers and some flowers fade quickly, it follows that some roses must fade quickly.",10,1,"Good response: correctly identifies the logical fallacy, explains why the inference fails (the fading flowers could exclude all roses), uses clear set logic. Bad response: commits the fallacy — this is a classic example of invalid syllogism. 'Some A is B' + 'All C is A' does not imply 'Some C is B'."
RE-002,Reasoning,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?,"The ball costs $0.05 (5 cents).

Here's the algebra:
Let ball = x, bat = x + $1.00
Total: x + (x + 1.00) = 1.10
2x + 1.00 = 1.10
2x = 0.10
x = 0.05

The intuitive (wrong) answer is $0.10, but if the ball were $0.10, the bat would be $1.10, making the total $1.20 — not $1.10.","The ball costs $0.10, and the bat costs $1.00.",10,1,"Good response: correct answer ($0.05), shows algebraic derivation, explicitly addresses and refutes the common intuitive wrong answer ($0.10). Bad response: gives the classic intuitive wrong answer — $0.10 + $1.00 = $1.10, but the bat ($1.00) is NOT $1.00 more than the ball ($0.10) — it's only $0.90 more."
RE-003,Reasoning,"If it takes 5 machines 5 minutes to make 5 widgets, how long does it take 100 machines to make 100 widgets?","It takes 5 minutes.

Each machine makes 1 widget in 5 minutes (5 machines × 1 widget each = 5 widgets in 5 minutes). So 100 machines each make 1 widget in the same 5 minutes, producing 100 widgets total. The number of machines scales with the number of widgets — the time stays constant.","It would take 100 minutes, because 100 widgets would take 100 times longer than making 1 widget.",10,1,"Good response: correct answer (5 minutes), explains the rate per machine, shows why the time doesn't scale. Bad response: wrong answer (100 minutes) — makes an incorrect proportional reasoning error, confusing the number of widgets with time when machines increase proportionally."
RE-004,Reasoning,"In a room, there are 3 light switches outside, each controlling one of 3 bulbs inside. You can only enter the room once. How do you identify which switch controls which bulb?","Turn switch 1 ON for several minutes, then turn it OFF. Turn switch 2 ON. Enter the room:
- The bulb that is ON → controlled by switch 2
- The bulb that is OFF but warm → controlled by switch 1 (it was on long enough to heat up)
- The bulb that is OFF and cold → controlled by switch 3

This works because light bulbs retain heat after being switched off, giving you a third distinguishable state beyond just on/off.","Turn on switch 1, enter the room, see which bulb is on. That's switch 1. Then you go back out and turn on switch 2 and enter again.",10,1,"Good response: uses the heat property of bulbs to create three distinguishable states (on, off-warm, off-cold), solves within the one-entry constraint. Bad response: proposes entering the room multiple times — directly violates the 'only enter once' constraint. Not a valid solution."
RE-005,Reasoning,You have a 3-liter jug and a 5-liter jug and unlimited water. How do you measure exactly 4 liters?,"Step 1: Fill the 5-liter jug completely.
Step 2: Pour from the 5-liter into the 3-liter until the 3-liter is full. (5-liter now has 2 liters.)
Step 3: Empty the 3-liter jug.
Step 4: Pour the 2 liters from the 5-liter into the 3-liter jug.
Step 5: Fill the 5-liter jug completely.
Step 6: Pour from the 5-liter into the 3-liter until it's full (it needs 1 more liter).
Result: The 5-liter jug now contains exactly 4 liters.",Fill the 3-liter jug and pour it into the 5-liter jug twice. That gives you 6 liters. Then pour out 2 liters to get 4 liters.,10,1,"Good response: valid 6-step solution using only the two jugs, each step is measurable with the available containers. Bad response: 'pour out exactly 2 liters' from the 5-liter jug — but you have no way to measure 2 liters exactly without the problem being circular. The solution assumes a measurement ability that doesn't exist."
RE-006,Reasoning,Two trains are 300 km apart and travel toward each other at 60 km/h each. A bird flies back and forth between them at 90 km/h until they collide. How far does the bird fly?,"The bird flies 225 km total.

The key insight: instead of tracking the bird's back-and-forth (which is complex), calculate how long until the trains meet. The trains approach each other at a combined speed of 60 + 60 = 120 km/h. Time to collision: 300 km ÷ 120 km/h = 2.5 hours. The bird flies for exactly 2.5 hours at 90 km/h: 90 × 2.5 = 225 km.","To solve this, we need to add up all the individual trips the bird makes between the trains. As the trains get closer, each trip gets shorter. We can calculate this as an infinite geometric series.",10,4,"Good response: uses the elegant insight (total time of bird's flight = time until trains meet), correct answer (225 km). Bad response: proposes the complex geometric series approach — technically valid but misses the elegant solution, and more importantly, doesn't actually compute the answer. Points for identifying the problem structure, but fails to deliver the result."
RE-007,Reasoning,Is it possible to have a fair coin flip if you have an unfair (biased) coin?,"Yes. John von Neumann's method: flip the coin twice. If you get HT, call it 'heads'. If you get TH, call it 'tails'. If you get HH or TT, discard and flip again.

Why it works: if P(H) = p, then P(HT) = p(1-p) and P(TH) = (1-p)p. These are equal regardless of p. So HT and TH are equally likely outcomes, giving a fair 50/50 result from a biased coin.","No, if the coin is biased you cannot get a fair result no matter what you do.",10,1,"Good response: correct answer (yes), names the von Neumann method, explains the mathematical proof (P(HT) = P(TH) regardless of bias). Bad response: factually incorrect — the von Neumann technique is a well-known solution to this exact problem."
RE-008,Reasoning,A doctor gives you 3 pills and tells you to take one every half hour. How long will the pills last?,"The pills will last 1 hour (60 minutes).

You take the first pill immediately (0 min), the second at 30 min, and the third at 60 min. The time from taking the first pill to taking the last is 60 minutes, not 90 minutes as one might initially think.",The pills will last 1.5 hours because 3 pills × 30 minutes = 90 minutes.,10,1,"Good response: correct answer (1 hour), explains the timing of each pill explicitly to show why it's 60 not 90 minutes. Bad response: simple multiplication error — this is a classic off-by-one interval problem. 3 pills create 2 intervals of 30 minutes each = 60 minutes total."
RE-009,Reasoning,Why are manhole covers round?,"The primary functional reason is that a round cover cannot fall through its own opening, regardless of orientation. Any other shape (square, rectangle, oval) can be tilted and dropped through if aligned diagonally with the hole. A circle has the same diameter in every direction, so it will always rest on the rim. Secondary reasons include: easier to roll/transport, no need to align when replacing, and uniform pressure distribution.","Because manholes are round, so the covers need to be round to fit.",9,2,"Good response: explains the key engineering reason (can't fall through), explains why other shapes would fail (diagonal alignment), adds secondary practical reasons. Bad response: circular reasoning — explains round covers by saying manholes are round, but doesn't explain why manholes are round either. No actual reasoning."
RE-010,Reasoning,"Analyze this argument: 'We should ban cars because people die in car accidents. We don't ban knives even though they can kill people, so this is inconsistent.'","This is a tu quoque / false equivalence argument. Let's analyze it:

The argument structure: 'We don't ban X, so we shouldn't ban Y' assumes X and Y are equivalent. But cars and knives differ significantly in scale (cars kill ~1.35M people/year globally vs knives far fewer), primary purpose (cars' main purpose is transport; knives' is cutting food), and available alternatives.

The 'ban cars' premise itself is a straw man — most proposals are for regulations, safety standards, or speed limits, not bans. The argument uses an extreme version to make it seem unreasonable. A more honest comparison would be: we regulate knives (illegal to carry concealed in many places) just as we regulate cars (speed limits, licenses, safety requirements).",The argument is valid because it's true that we don't ban knives. So either we should ban both or neither.,9,2,"Good response: identifies the logical fallacies (tu quoque, false equivalence, straw man), provides statistical context, points out that regulation ≠ ban, makes a fair comparison. Bad response: accepts the false dichotomy embedded in the argument without questioning it, validates flawed reasoning."
RE-011,Reasoning,"If you flip a fair coin 10 times and get heads every time, what is the probability of getting heads on the 11th flip?","The probability is still 50% (0.5). Each coin flip is an independent event — past results do not affect future outcomes. This is the gambler's fallacy if you believe otherwise. The coin has no memory of previous flips. The probability of heads on any single fair flip is always 1/2, regardless of what came before.","The probability is very low, maybe around 1 in 2000, because getting 11 heads in a row is extremely unlikely.",10,1,"Good response: correct answer (50%), names the fallacy (gambler's fallacy), explains independence of events. Bad response: commits the gambler's fallacy — confuses P(11 heads in a row from the start) with P(heads | already had 10 heads). The probability of 11 heads in a row from scratch is ~1/2048, but that's not what was asked."
RE-012,Reasoning,"A store sells apples for $0.50 each and pears for $0.75 each. If someone spends exactly $5.00 and buys at least one of each fruit, what are the possible combinations?","Let a = number of apples, p = number of pears.

Constraint: 0.50a + 0.75p = 5.00, with a ≥ 1, p ≥ 1.
Multiply by 4: 2a + 3p = 20.

Solving for valid positive integer pairs:
- p=1: 2a = 17 → a = 8.5 (not integer)
- p=2: 2a = 14 → a = 7 ✓ (7 apples, 2 pears)
- p=3: 2a = 11 → a = 5.5 (not integer)
- p=4: 2a = 8 → a = 4 ✓ (4 apples, 4 pears)
- p=5: 2a = 5 → a = 2.5 (not integer)
- p=6: 2a = 2 → a = 1 ✓ (1 apple, 6 pears)
- p=7: 2a = -1 → negative (stop)

Three valid combinations: (7 apples, 2 pears), (4 apples, 4 pears), (1 apple, 6 pears).","You could buy 10 apples for $5.00, or you could mix and match different amounts of apples and pears.",10,1,"Good response: sets up the equation, converts to integers to avoid decimal errors, systematically checks all cases, correctly finds all 3 valid combinations. Bad response: '10 apples' violates the 'at least one of each' constraint, and 'mix and match' is non-specific — provides no actual combinations."
RE-013,Reasoning,What weighs more: a ton of feathers or a ton of gold?,"They weigh the same — both weigh exactly one ton. This is a classic trick question. However, there is an interesting nuance: gold is measured in troy weight (1 troy ton ≈ 1,016 kg) while feathers are measured in avoirdupois weight (1 short ton = 907 kg). If 'ton' means different things for each material, the feathers could actually 'weigh more' by number of standard grams. But in common usage, a ton is a ton.",Gold weighs more because it is a very heavy metal.,9,1,"Good response: correct primary answer (same weight), adds the genuinely interesting troy vs avoirdupois nuance that makes feathers arguably heavier in a technical sense. Bad response: falls for the trick — wrong answer with no reasoning beyond 'gold is heavy'."
RE-014,Reasoning,Is the following statement a paradox? 'This statement is false.',"Yes, 'This statement is false' is the classic Liar's Paradox. If the statement is true, then what it says (that it is false) must be true, so it must be false. If it is false, then what it says is untrue, meaning the statement must be true. It oscillates between true and false with no stable resolution.

This paradox had real implications in mathematics — Bertrand Russell's version ('the set of all sets that do not contain themselves') contributed to the foundations of set theory and prompted formal logical systems like ZFC to avoid self-reference.","Yes, it's a paradox because it contradicts itself.",9,3,"Good response: correctly identifies it as the Liar's Paradox, walks through both branches of the contradiction, connects to mathematical significance (Russell's Paradox, ZFC set theory). Bad response: correct conclusion but no elaboration — 'contradicts itself' without explaining how or why, no connection to broader implications."
RE-015,Reasoning,"You're in a dark room with a candle, a wood stove, and a gas lamp. You have only one match. What do you light first?","You light the match first. The match must be lit before you can light anything else — it's the prerequisite for all other actions. This is a lateral thinking question designed to test whether you over-complicate the answer by choosing between the candle, stove, and lamp.",Light the wood stove first because it provides the most heat and will warm up the room the fastest.,10,1,"Good response: correct lateral thinking answer (the match), explains the logic, identifies the trick of the question. Bad response: misses the trick entirely and engages with the second-order question (what gives most heat), which is irrelevant — you must light the match first regardless."
